slug,clinic,name,img,description,LinkedIn,Website
anastasios-vekris,advanced-hair-clinics,Anastasios Vekris,,,,https://www.advancedhairclinics.gr/en/plastic-surgeon-dr-anastasios-vekris
amalia-tsiatoura,advanced-hair-clinics,Amalia Tsiatoura,,,,https://www.advancedhairclinics.gr/en/dermatologist-dr-amalia-tsiatoura
konstantina-mamali,advanced-hair-clinics,Konstantina Mamali,,,,https://www.advancedhairclinics.gr/en/dermatologist-dr-konstantina-mamali
antonia-andriopoulou,advanced-hair-clinics,Antonia Andriopoulou,,,,https://www.advancedhairclinics.gr/en/doctor-antonia-andriopoulou
sevasti-afantenou,advanced-hair-clinics,Sevasti Afantenou,,,,https://www.advancedhairclinics.gr/en/dermatologist-sevasti-afantenou
athanasia-zambeta,advanced-hair-clinics,Athanasia Zambeta,,,,https://www.advancedhairclinics.gr/en/dermatologist-athanasia-zambeta
panagiotis-tragoulias,advanced-hair-clinics,Panagiotis Tragoulias,,,,https://www.advancedhairclinics.gr/en/doctor-panagiotis-tragoulias
maria-zampoulaki,advanced-hair-clinics,Maria Zampoulaki,,,,https://www.advancedhairclinics.gr/en/doctor-maria-zampoulaki
konstantinos-dionysiou,medartclinic,Konstantinos Dionysiou,,,,
janne-jyränki,helsinki-clinic,Janne Jyränki,,,,https://www.helsinkiclinic.fi/janne-jyranki/
akaki-tsilosani,tsilosani-clinic,Akaki Tsilosani,,,,https://tsilosaniclinic.com/
vazha-vadachkoria,talizi,Vazha Vadachkoria,,,,https://talizi.ge/team/dr-vazha-vadachkoria/
ekaterine-kandiashvili,talizi,Ekaterine Kandiashvili,,,,https://talizi.ge/team/dr-ekaterine-kandiashvili/
maria-gugava,talizi,Maria Gugava,,,,https://talizi.ge/team/dr-maria-gugava/
nino-vadachkoria,talizi,Nino Vadachkoria,,,,https://talizi.ge/team/dr-nino-vadachkoria/
salome-vadachkoria,talizi,Salome Vadachkoria,,,,https://talizi.ge/team/dr-salome-vadachkoria/
irakli-bebiashvili,hairline-international,Irakli Bebiashvili,,,,https://hairline.ge/en